,sentences
0,"['assum', 'world', 'piec', 'univers', 'round', 'realli', 'begin', 'end', 'grand', 'line', 'straw', 'hat', 'start', 'first', 'half', 'sail', 'across', 'second', 'half', 'wouldnt', 'quicker', 'set', 'sail', 'opposit', 'direct', 'start']"
1,"['middl', 'dark', 'tournament', 'yusuk', 'urameshi', 'get', 'fulli', 'inherit', 'genkai', 'power', 'spirit', 'wave', 'absorb', 'ball', 'energi', 'howev', 'process', 'turn', 'excruci', 'trial', 'yusuk', 'almost', 'kill', 'keep', 'doubl', 'extrem', 'pain', 'long', 'period', 'much', 'spirit', 'anim', 'poo', 'pain', 'fli', 'tri', 'help', 'question', 'pain', 'procedur', 'learn', 'absorb', 'power']"
2,"['sora', 'otoshimono', 'ikaro', 'carri', 'around', 'watermelon', 'pet', 'like', 'watermelon', 'pretti', 'much', 'anyth', 'els', 'round', 'point', 'even', 'watermelon', 'garden', 'attack', 'bug', 'near', 'melon', 'what', 'signific', 'watermelon', 'carri', 'around']"
3,"['particular', 'softwar', 'softwar', 'famili', 'specif', 'design', 'make', 'anim', 'draw', 'frame', 'motion', 'scene', 'softwar', 'automat', 'gener', 'exampl', 'consid', 'soccer', 'player', 'kick', 'footbal', 'let', 'durat', 'scene', 'second', 'let', 'frame', 'rate', 'video', 'fp', 'make', 'frame', 'scene', 'patient', 'draw', 'frame', 'manual', 'scene', 'take', 'half', 'second']"
4,"['sever', 'episod', 'dbz', 'dbgt', 'use', 'ssj3', 'form', 'shown', 'tire', 'user', 'burn', 'energi', 'quickli', 'compar', 'ssj12enhancedmysticetc', 'howev', 'dbgt', 'roll', 'around', 'ssj4', 'form', 'tire', 'enhanc', 'form', 'doesnt', 'seem', 'put', 'much', 'strain', 'user', 'limit', 'ssj3', 'distinct', 'reason', 'term', 'power', 'drain', 'bodi', 'handl', 'transform', 'perhap', 'overlook', 'gt', 'creat']"
5,"['think', 'piec', 'end', 'grand', 'line', 'simpli', 'refer', 'fact', 'piec', 'legendari', 'treasur', 'talk', 'last', 'pirat', 'king', 'travel', 'end', 'sea', 'case', 'mean', 'travel', 'remotedanger', 'place', 'worthi']"
6,"['reason', 'cant', 'basic', 'new', 'world', 'beyond', 'red', 'line', 'walk', 'cross', 'huge', 'contin', 'tall', 'cant', 'cross', 'calm', 'belt', 'either', 'unless', 'form', 'locomot', 'navi', 'boa', 'hancock', 'way', 'start', 'four', 'sea', 'revers', 'mountain', 'follow', 'grand', 'line', 'reach', 'raftel', 'supposedli', 'piec', 'locat']"
7,"['edo', 'tensei', 'techniqu', 'reviv', 'dead', 'bind', 'soul', 'live', 'bodi', 'howev', 'releas', 'techniqu', 'dead', 'back', 'dead', 'madara', 'still', 'stick', 'around', 'even', 'edo', 'tensei', 'end', 'sure', 'need', 'think', 'figur', 'yet', 'reveal']"
8,"['dont', 'forget', 'gt', 'filler', 'wasnt', 'creat', 'origin', 'creator', 'akira', 'toriyama', 'high', 'probabl', 'overlook', 'rememb', 'correctli', 'ssj3', 'wasnt', 'shown', 'tiresom', 'dragon', 'ball', 'gt']"
9,"['origin', 'thought', 'surviv', 'member', 'uchiha', 'massacr', 'sasuk', 'itachi', 'seem', 'reveal', 'canon', 'list', 'surviv', 'member', 'uchiha', 'clan', 'massacr']"
